name,area
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,16.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,36.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,15.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,15.0
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,47.5
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,16.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,36.5
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,31.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,31.5
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,16.0
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,11.5
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,40.0
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,11.5
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,48.5
SuperScan (HAADF) 47,48.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,14.0
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,37.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,40.5
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,14.5
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,16.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,39.5
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,37.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,14.0
SuperScan (HAADF) 47,31.5
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,39.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,13.5
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,37.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,36.5
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,7.5
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,11.5
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,43.5
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,7.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,15.0
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,6.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,31.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,11.5
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,39.0
SuperScan (HAADF) 47,37.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,31.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,6.5
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,6.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,37.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,48.5
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,13.5
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,39.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,59.5
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,46.5
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,6.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,36.5
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,8.5
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,14.0
SuperScan (HAADF) 47,7.0
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,42.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,16.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,43.5
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,49.0
SuperScan (HAADF) 47,16.0
SuperScan (HAADF) 47,1.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,35.5
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,6.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,49.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,38.5
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,1.5
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,33.0
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,1.5
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,40.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,13.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,15.0
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,38.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,14.0
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,51.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,49.0
SuperScan (HAADF) 47,37.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,6.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,35.5
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,10.0
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,38.5
SuperScan (HAADF) 47,14.0
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,6.5
SuperScan (HAADF) 47,36.5
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,8.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,43.0
SuperScan (HAADF) 47,8.5
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,40.5
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,7.0
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,16.5
SuperScan (HAADF) 47,6.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,49.0
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,31.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,40.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,27.0
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,60.0
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,42.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,16.5
SuperScan (HAADF) 47,39.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,40.5
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,14.0
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,46.5
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,33.0
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,41.0
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,7.5
SuperScan (HAADF) 47,16.0
SuperScan (HAADF) 47,6.0
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,18.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,31.5
SuperScan (HAADF) 47,42.0
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,38.5
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,15.0
SuperScan (HAADF) 47,39.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,43.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,14.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,1.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,38.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,1.5
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,8.5
SuperScan (HAADF) 47,34.5
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,6.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,8.5
SuperScan (HAADF) 47,22.5
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,35.5
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,15.0
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,2.5
SuperScan (HAADF) 47,41.0
SuperScan (HAADF) 47,33.5
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,7.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,38.5
SuperScan (HAADF) 47,20.5
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,7.5
SuperScan (HAADF) 47,2.0
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,41.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,0.5
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,3.5
SuperScan (HAADF) 47,21.0
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,16.5
SuperScan (HAADF) 47,19.0
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,15.5
SuperScan (HAADF) 47,26.5
SuperScan (HAADF) 47,16.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,5.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,30.0
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,1.5
SuperScan (HAADF) 47,4.0
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,29.0
SuperScan (HAADF) 47,13.0
SuperScan (HAADF) 47,17.5
SuperScan (HAADF) 47,5.5
SuperScan (HAADF) 47,45.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,9.0
SuperScan (HAADF) 47,18.0
SuperScan (HAADF) 47,42.0
SuperScan (HAADF) 47,47.0
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,42.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,32.5
SuperScan (HAADF) 47,35.0
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,3.0
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,10.5
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,24.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,23.5
SuperScan (HAADF) 47,44.5
SuperScan (HAADF) 47,28.0
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,11.0
SuperScan (HAADF) 47,35.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,6.0
SuperScan (HAADF) 47,69.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,26.0
SuperScan (HAADF) 47,35.5
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,1.0
SuperScan (HAADF) 47,29.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,25.5
SuperScan (HAADF) 47,22.0
SuperScan (HAADF) 47,30.5
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,14.5
SuperScan (HAADF) 47,27.5
SuperScan (HAADF) 47,4.5
SuperScan (HAADF) 47,17.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,32.0
SuperScan (HAADF) 47,42.0
SuperScan (HAADF) 47,36.0
SuperScan (HAADF) 47,20.0
SuperScan (HAADF) 47,25.0
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,12.5
SuperScan (HAADF) 47,21.5
SuperScan (HAADF) 47,39.5
SuperScan (HAADF) 47,14.5
SuperScan (HAADF) 47,12.0
SuperScan (HAADF) 47,50.0
SuperScan (HAADF) 47,23.0
SuperScan (HAADF) 47,34.0
SuperScan (HAADF) 47,24.0
SuperScan (HAADF) 47,28.5
SuperScan (HAADF) 47,19.5
SuperScan (HAADF) 47,9.5
SuperScan (HAADF) 47,0.5
